;Potencia real [kW];Potencia reactiva [kvar];Pos. válvula mariposa [%];Tensión prom. gener. [V];Prom. corr. generador [A];Pos. válvula mariposa [%];Temp. promedio cil. [°C];Revoluciones reales [1/min];Tensión de excitación [V];Pot. teórica de carga [bar];
14/12/2022 14:52:21;1251;256;100;397;1835;100;549;1502;28,5;3,16300010681152;
14/12/2022 14:52:22;1250;249;100;397;1866;100;549;1502;28,8999996185303;3,16499996185303;
14/12/2022 14:52:22;1250;252;100;396;1850;100;549;1502;29,1000003814697;3,16300010681152;
14/12/2022 14:52:24;1249;253;100;396;1872;100;549;1502;28,8999996185303;3,16300010681152;
14/12/2022 14:52:25;1252;254;100;397;1858;100;549;1502;28,8999996185303;3,16499996185303;
14/12/2022 14:52:28;1249;250;100;396;1850;100;549;1502;28,3999996185303;3,16300010681152;
14/12/2022 14:52:29;1249;253;100;397;1867;100;549;1501;28,6000003814697;3,16000008583069;
14/12/2022 14:52:32;1252;258;100;397;1849;100;549;1501;29,2000007629395;3,17000007629395;
14/12/2022 14:52:35;1251;255;100;397;1892;100;549;1502;28,7999992370605;3,16700005531311;
14/12/2022 14:52:42;1251;260;100;396;1856;100;549;1502;28,7999992370605;3,17199993133545;
14/12/2022 14:52:43;1252;252;100;396;1849;100;549;1502;28,7999992370605;3,16700005531311;
14/12/2022 14:52:44;1253;249;100;397;1862;100;549;1501;28,6000003814697;3,17400002479553;
14/12/2022 14:52:45;1251;254;100;397;1852;100;549;1501;28,2000007629395;3,16700005531311;
14/12/2022 14:52:46;1251;259;100;396;1862;100;549;1501;28,3999996185303;3,16700005531311;
14/12/2022 14:52:47;1251;253;100;397;1866;100;549;1501;28,7999992370605;3,16700005531311;
14/12/2022 14:52:48;1251;253;100;397;1883;100;549;1501;29,2000007629395;3,16700005531311;
14/12/2022 14:52:49;1249;251;100;397;1851;100;549;1501;29;3,16300010681152;
14/12/2022 14:52:50;1248;251;100;397;1871;100;549;1501;28,8999996185303;3,16300010681152;
14/12/2022 14:52:51;1250;255;100;397;1846;100;549;1501;28,7999992370605;3,16499996185303;
14/12/2022 14:52:52;1248;253;100;397;1859;100;549;1501;28,7000007629395;3,15799999237061;
14/12/2022 14:52:53;1249;254;100;397;1843;100;549;1501;28,7999992370605;3,16300010681152;
