;Potencia real [kW];Potencia reactiva [kvar];Pos. válvula mariposa [%];Tensión prom. gener. [V];Prom. corr. generador [A];Pos. válvula mariposa [%];Temp. promedio cil. [°C];Revoluciones reales [1/min];Tensión de excitación [V];Pot. teórica de carga [bar]
14/12/2022;1251;256;100;397;1835;100;549;1502;28,5;3,163000107
15/12/2022;1250;249;100;397;1866;100;549;1502;28,89999962;3,164999962
16/12/2022;1250;252;100;396;1850;100;549;1502;29,10000038;3,163000107
17/12/2022;1249;253;100;396;1872;100;549;1502;28,89999962;3,163000107
18/12/2022;1252;254;100;397;1858;100;549;1502;28,89999962;3,164999962
19/12/2022;1249;250;100;396;1850;100;549;1502;28,39999962;3,163000107
20/12/2022;1249;253;100;397;1867;100;549;1501;28,60000038;3,160000086
21/12/2022;1252;258;100;397;1849;100;549;1501;29,20000076;3,170000076
22/12/2022;1251;255;100;397;1892;100;549;1502;28,79999924;3,167000055
23/12/2022;1251;260;100;396;1856;100;549;1502;28,79999924;3,171999931
24/12/2022;1252;252;100;396;1849;100;549;1502;28,79999924;3,167000055
25/12/2022;1253;249;100;397;1862;100;549;1501;28,60000038;3,174000025
26/12/2022;1251;254;100;397;1852;100;549;1501;28,20000076;3,167000055
27/12/2022;1251;259;100;396;1862;100;549;1501;28,39999962;3,167000055
28/12/2022;1251;253;100;397;1866;100;549;1501;28,79999924;3,167000055
29/12/2022;1251;253;100;397;1883;100;549;1501;29,20000076;3,167000055
30/12/2022;1249;251;100;397;1851;100;549;1501;29;3,163000107
31/12/2022;1248;251;100;397;1871;100;549;1501;28,89999962;3,163000107
01/01/2023;1250;255;100;397;1846;100;549;1501;28,79999924;3,164999962
02/01/2023;1248;253;100;397;1859;100;549;1501;28,70000076;3,157999992
03/01/2023;1249;254;100;397;1843;100;549;1501;28,79999924;3,163000107
04/01/2023;1252;255;100;397;1880;100;549;1501;28,60000038;3,170000076
05/01/2023;1251;257;100;397;1849;100;549;1501;28,29999924;3,167000055
06/01/2023;1251;255;100;397;1862;100;549;1501;28,39999962;3,167000055
07/01/2023;1250;260;100;397;1839;100;549;1501;28,89999962;3,163000107
08/01/2023;1250;253;100;397;1883;100;549;1501;29,20000076;3,167000055
09/01/2023;1251;252;100;397;1846;100;549;1502;29;3,167000055
10/01/2023;1251;253;100;396;1850;100;549;1502;28,79999924;3,167000055
11/01/2023;1250;250;100;396;1849;100;549;1502;28,60000038;3,164999962
12/01/2023;1250;248;100;397;1871;100;549;1502;28,39999962;3,164999962
13/01/2023;1249;253;100;397;1871;100;549;1501;28,70000076;3,15899992
14/01/2023;1247;251;100;397;1882;100;549;1502;29,29999924;3,15899992
15/01/2023;1250;251;100;396;1854;100;549;1501;29,10000038;3,164000034
16/01/2023;1248;255;100;397;1849;100;549;1501;28,79999924;3,15899992
17/01/2023;1250;254;100;396;1843;100;549;1501;28,79999924;3,164000034
18/01/2023;1251;260;100;397;1868;100;549;1501;28,79999924;3,165999889
19/01/2023;1251;258;100;396;1860;100;549;1501;28,89999962;3,165999889
20/01/2023;1253;254;100;396;1868;100;549;1501;28,60000038;3,16899991
21/01/2023;1250;248;100;397;1857;100;549;1501;28,70000076;3,164000034
